CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42 Coin,Scrypt,True,PoW/PoS,41.99995383,42
365Coin,X11,True,PoW/PoS,,2300000000
404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000
SixEleven,SHA-256,True,PoW,,611000
808,SHA-256,True,PoW/PoS,0.0,0
EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359
2015 coin,X11,True,PoW/PoS,,0
Bitcoin,SHA-256,True,PoW,17927175.0,21000000
Ethereum,Ethash,True,PoW,107684222.6865,0
Litecoin,Scrypt,True,PoW,63039243.3000049,84000000
Dash,X11,True,PoW/PoS,9031294.37563393,22000000
Monero,CryptoNight-V7,True,PoW,17201143.1449131,0
Ethereum Classic,Ethash,True,PoW,113359703.0,210000000
ZCash,Equihash,True,PoW,7383056.25,21000000
Bitshares,SHA-512,True,PoS,2741570000.0,3600570502
DigiByte,Multiple,True,PoW,11406219141.0,21000000000
BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000
CraigsCoin,X11,True,PoS,,30000000
Bitstake,X11,True,PoW/PoS,0.0,1300000
PayCoin,SHA-256,True,PoS,11995334.8847328,12500000
ProsperCoin,Scrypt,True,PoW,5768310.0,21000000
YbCoin,Multiple,True,PoS,,200000000
DarkKush,X13,True,PoW/PoS,,3000000
GiveCoin,X11,True,PoW,,500000000
KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000
DarkToken,NIST5,True,PoW/PoS,,0
CETUS Coin,Scrypt,True,PoW/PoS,,0
Spreadcoin,X11,True,PoW,11149733.9976203,20000000
Insanity Coin,X11,True,PoW,,50000000
ACoin,SHA-256,True,PoW,0.0,1600000
Aero Coin,X13,True,PoS,0.0,7000000
AlphaCoin,Scrypt,True,PoW,,210182000
Aegis,X13,True,PoS,,0
AmericanCoin,Scrypt,True,PoW,,168000000
AlienCoin,Scrypt,True,PoW,,200000000
ApexCoin,X13,True,PoW/PoS,0.0,6000000
ArchCoin,Scrypt,True,PoS,0.0,16403135
Argentum,Scrypt,True,PoW,12205795.4449549,64000000
AriCoin,Scrypt,True,PoW,,322649400
Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584
BetaCoin,SHA-256,True,PoW,0.0,32000000
BeanCash,SHA-256,True,PoW/PoS,,50000000000
BlueCoin,Scrypt,True,PoW/PoS,635423900.0,0
BQCoin,Scrypt,True,PoW,,88000000
MyriadCoin,Multiple,True,PoW,1688254250.0,2000000000
MoonCoin,Scrypt,True,PoW,88.0,384000000000
ZetaCoin,SHA-256,True,PoW,170204389.754849,169795588
SexCoin,Scrypt,True,PoW,128940951.183046,250000000
Quatloo,Scrypt,True,PoW,7357794.7925,100000000
EnergyCoin,Scrypt,True,PoW/PoS,123062801.128773,0
QuarkCoin,Quark,True,PoW,259557164.91477,247000000
Riecoin,Groestl,True,PoW,49548585.1412917,84000000
Digitalcoin ,Scrypt,True,PoW,33442988.3440364,48166000
LimeCoinX,X11,True,PoW,0.0,21000000 
BitBar,Scrypt,True,PoW/PoS,42579.476901,500000
CAIx,Scrypt,True,PoS,,0
BitMark,Scrypt,True,PoW,0.0,27580000
CryptoBuk,Scrypt,True,PoW/PoS,,100000000
Cachecoin,Scrypt,True,PoW,,2000000000
BottleCaps,Scrypt,True,PoW/PoS,,47433600
CashCoin,Scrypt,True,PoW/PoS,0.0,47433600
Catcoin,Scrypt,True,PoW,7219956.64626131,21000000 
CryptoBullion,Scrypt,True,PoW/PoS,1039116.65144562,1000000
CannaCoin,Scrypt,True,PoW,4703879.51824446,13140000
CinderCoin,Multiple,True,PoW/PoS,0.0,114000000
CINNICOIN,Scrypt,True,PoW,,15000000
CopperLark,SHA-256,True,PoW,,27200000
CosmosCoin,Scrypt,True,PoW/PoS,,100000000
ChinaCoin,Scrypt,True,PoW,,462500000
ConcealCoin,X11,True,PoW,,8500000
Community Coin,Scrypt,True,PoW/PoS,,1000000000
CoolCoin,Scrypt,True,PoS,0.0,100000000
CrackCoin,X11,True,PoW,,6000000
CryptCoin,X11,True,PoW,4996986.20575291,18000000
CasinoCoin,Scrypt,True,PoC,39999997299.8568,40000000000
eMark,SHA-256,True,PoW/PoS,0.0,0
Diamond,Groestl,True,PoW/PoS,3304487.74735637,4380000
Verge,Multiple,True,PoW,15929530669.1206,16555000000
DarkCash,X11,True,PoW/PoS,0.0,3720000
DarkShibe,Scrypt,True,PoW,0.0,2043962
DevCoin,SHA-256,True,PoW,18773857500.0,21000000000
EarthCoin,Scrypt,True,PoW,12539015186.822,13500000000
E-Gulden,Scrypt,True,PoW,20910478.8062499,21000000 
Elacoin,Scrypt,True,PoW,0.0,75000000
Einsteinium,Scrypt,True,PoW,218871896.499999,299792458
Emerald,Scrypt,True,PoW,19496786.31025,32000000
Exclusive Coin,PoS,True,PoS,5679705.0,0
ExeCoin,Scrypt,True,PoW,,21000000 
EZCoin,Scrypt,True,PoW,,84000000
Flappy Coin,Scrypt,True,PoW,0.0,100000000000
Fuel2Coin,X11,True,PoS,0.0,100000000
FireflyCoin,SHA-256,True,PoW,,700000000000
FIBRE,NIST5,True,PoW/PoS,0.0,624000
FireRoosterCoin,SHA-256,True,PoW,0.0,2602410
FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32893,0
Franko,Scrypt,True,PoW,1142732.14912776,11235813
FractalCoin,X11,True,PoW,,1000000
FastCoin,Scrypt,False,PoW,,165888000
FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000
GrandCoin,Scrypt,True,PoW,884125802.0,1420609614
GlobalCoin,Scrypt,True,PoW,65672720.4708748,70000000
GoldCoin,Scrypt,True,PoW,41658647.9999715,72245700
GalaxyCoin,Scrypt,True,PoW/PoS,,538214400
GlyphCoin,X11,True,PoW/PoS,0.0,7000000
GameLeagueCoin,Scrypt,True,PoW/PoS,,500000000
GuerillaCoin,X11,True,PoW/PoS,,19500000
Halcyon,X15,True,PoW/PoS,0.0,0
HoboNickels,Scrypt,True,PoW/PoS,89266933.684704,120000000
HunterCoin,Multiple,True,PoW,0.0,42000000
HeavyCoin,Multiple,True,PoW,,128000000
HyperStake,X11,True,PoS,1678520090.7713,0
IceBergCoin,NIST5,True,PoW/PoS,,8750000
Infinite Coin,Scrypt,True,PoW,90595753018.6314,90600000000
IOCoin,X11,True,PoW/PoS,17650913.9743456,22000000
IXcoin,SHA-256,True,PoW,21089348.999,21000000
JumBucks Coin,X11,True,PoW/PoS,0.0,3293010
JunkCoin,Scrypt,True,PoW,,107000000
JudgeCoin,X13,True,PoW/PoS,0.0,21600000
Klondike Coin,Scrypt,True,PoW,,20000000
KeyCoin,X13,False,PoW/PoS,,1000000
KrugerCoin,Scrypt,True,PoW,151447649.8,265420800
Lucky7Coin,Scrypt,True,PoW/PoS,,99792000
LuckyCoin,Scrypt,True,PoW,19326319.14375,20000000
LightSpeedCoin,NIST5,True,PoW/PoS,,900000
Litebar ,Scrypt,True,PoW,1104344.22938102,1350000
LitecoinDark,Scrypt,True,PoW,0.0,82003200
LitecoinX,X11,True,PoW,,84000000
LibrexCoin,X11,True,PoW/PoS,0.0,1000000
LycanCoin,Scrypt,True,PoW,,4950000000
MaxCoin,SHA3,True,PoW/PoS,61445805.0,100000000
MegaCoin,Scrypt,True,PoW,38151999.9930997,42000000
MediterraneanCoin,HybridScryptHash256,True,PoW,40431856.9,200000000
Minerals Coin,X11,False,PoW/PoS,,1000000
MintCoin,Scrypt,True,PoS,21293925445.4969,0
Cryptsy Mining Contract,SHA-256,True,PoW,,0
MinCoin,Scrypt,True,PoW,5804204.88794916,10000000
MurrayCoin,Scrypt,True,PoW,,58000000
MazaCoin,SHA-256,True,PoW/PoS,1613836099.99999,2419200000
NanoToken,Scrypt,True,PoW,,80000000
Nautilus Coin,Scrypt,True,PoS,16180000.0,16180000
NavCoin,X13,True,PoW/PoS,66087096.2077108,0
Nybble,Scrypt,True,PoW,,210000000
Nimbus Coin,X15,True,PoW/PoS,,25000000
NoirBits,SHA-256,True,PoW,0.0,50000000
NobleCoin,Scrypt,True,PoW,2366066305.76482,15000000000
NoirShares,Scrypt,True,PoW/PoS,,5000000
Namecoin,SHA-256,True,PoW,14736400.0,21000000
NyanCoin,Scrypt,True,PoW,334709223.483138,337000000
OpalCoin,X13,True,PoW/PoS,15156364.3306548,0
Orbitcoin,NeoScrypt,True,PoW/PoS,3220616.279225,3770000
PhilosophersStone,Scrypt,True,PoW,,8891840
PotCoin,Scrypt,True,PoW/PoS,222677226.014206,420000000
PseudoCash,X13,True,PoW/PoS,,2200000
PhoenixCoin,Scrypt,True,PoW/PoS,73959274.625,98000000
PayCoin,Scrypt,True,PoW/PoS,,30000000
Reddcoin,Scrypt,True,PoW/PoS,29315567169.0888,0
RipOffCoin,Scrypt,True,PoW,0.0,12000000
RonPaulCoin,Scrypt,True,PoW,1104157.42169891,21000000
RotoCoin,Scrypt-n,True,PoW/PoS,,288000
RoyalCoin,Scrypt,True,PoW,,140000000
RazorCoin,Scrypt,True,PoW,,4000000
Saturn2Coin,Scrypt,True,PoW,,15000000000
StableCoin,Scrypt,True,PoW,24215181.725,250000000
SaffronCoin,Multiple,True,PoW,,111000000
ShadeCoin,Scrypt,True,PoW/PoS,,2000000
ShieldCoin,X15,True,PoW/PoS,0.0,1000000
SilkCoin,Scrypt,True,PoW/PoS,0.0,1000000
SterlingCoin,X13,True,PoS,,0
SmartCoin,Scrypt,True,PoW,25593737.1355044,51200000
SoleCoin,X15,True,PoW/PoS,,1200000
SpainCoin,Scrypt-n,True,PoW,0.0,50000000
Spots,Scrypt,True,PoW,,100000000
SecureCoin,Scrypt,True,PoW,0.0,21000000
SSVCoin,X13,True,PoW,,21000000
SuperCoin,X11,True,PoS,50707661.7493518,0
SyncCoin,X11,True,PoW/PoS,1177.0,1000
SysCoin,SHA-256,True,PoW,563336541.299966,888000000
TagCoin,Scrypt,True,PoW/PoS,,1000000
TakCoin,SHA-256,True,PoW/PoS,,7515187520
TeslaCoin,Multiple,True,PoS,80260463.7331396,100000000
TigerCoin,SHA-256,True,PoW,43536800.0,47011968
TittieCoin,PHI1612,True,PoS,1622326490.46336,2300000000
TorCoin,X11,True,PoW/PoS,1431851.00002479,10000000
TerraCoin,SHA-256,True,PoW,22935396.0,42000000
TitCoin,Scrypt,True,PoW,,1000000
Umbrella,SHA-256,True,PoW,0.0,2625000
UnbreakableCoin,SHA-256,True,PoW,2278150.0,80000000
Unobtanium,SHA-256,True,PoW,200911.79151896,250000
UroCoin,X11,True,PoW,1207310.0,0
UnitaryStatus Dollar,Scrypt,True,PoW/PoS,1098952592.6,1600000000
UltraCoin,Scrypt,True,PoW/PoS,50235211.141939,100000000
Utility Coin,X13,True,PoW/PoS,0.0,0
VidioCoin,X11,True,PoW/PoS,,0
ViaCoin,Scrypt,True,PoW,23150892.1679687,23000000
VootCoin,X11,True,PoW,0.0,0
VeriCoin,Scrypt,True,PoST,32021108.4136696,0
Vertcoin,Lyra2REv2,True,PoW,51173723.8166347,84000000
WorldCoin,Scrypt,True,PoW,119606941.0,265420800
SapienceCoin,X11,True,PoB/PoS,,0
SocialXbotCoin,Scrypt,True,PoW/PoS,0.0,2000000
X11 Coin,X11,True,PoW/PoS,6950831.0970606,5500000
Xcash,Scrypt,False,PoW/PoS,,2400000
Crypti,Multiple,True,PoS,100000000.0,0
JouleCoin,SHA-256,True,PoW,39195739.362088,45000000
LibertyCoin,X11,True,PoW/PoS,,16500000
StealthCoin,X13,True,PoW/PoS,33093725.4123502,0
XXXCoin,Scrypt,True,PoW/PoS,0.0,50000000
YAcCoin,Scrypt,True,PoW,,2000000000
ZCC Coin,Scrypt,True,PoW/PoS,147990237.978331,1000000000
ZedCoins,Scrypt,True,PoW,,120000000
ByteCoin,CryptoNight,True,PoW,184066828814.0,184467440735
Elektron,X13,True,PoW/PoS,,3000000
DigitalNote ,CryptoNight,True,PoW,6906587610.38292,10000000000
XauCoin,SHA-256,True,PoW,,2100000
BurstCoin,Shabal256,True,PoC,1813033920.0,2158812800
StorjCoin,Counterparty,True,PoS,51173144.0,500000000
BigCoin,Blake,True,PoW,,164429865
007 coin,Scrypt,True,PoW,,989800
MonaCoin,Scrypt,True,PoW,68194674.8711679,105120000
TekCoin,SHA-256,True,PoW/PoS,,100000000
Neutron,SHA-256,True,PoW/PoS,39121694.0,68000000
Sling Coin,SHA-256,True,PoW,0.0,1000000
Stability Shares,Scrypt,True,PoW/PoS,,15000000
KryptCoin,Scrypt,True,PoS,0.0,17000000
FairCoin,Groestl,True,PoW/PoS,53193831.0,0
Gulden,Scrypt,True,PoW,415032420.0,1680000000
RubyCoin,Scrypt,True,PoS,27184490.3918338,0
PesetaCoin,Scrypt,True,PoW,137517654.41397,166386000
Kore,X13,True,PoW/PoS,2022464.886973,12000000
Wild Beast Coin,Scrypt,True,PoW,181919.2435974,2628000
Sonic Screw Driver Coin,SHA-256,True,PoW/PoS,,0
Dnotes,Scrypt,True,PoS,174646113.934655,500000000
Flo,Scrypt,True,PoW,152270664.860648,160000000
MaieutiCoin,SHA-256,True,PoS,0.0,2014
8BIT Coin,Scrypt,True,PoW/PoS,1467841.0,0
Sativa Coin,X13,True,PoW/PoS,7096834.0,10000000
AeroMe,X13,True,PoW/PoS,0.0,12000000
NakomotoDark,X11,True,PoW/PoS,,0
GhostCoin,Scrypt,True,PoW/PoS,,750000000
ArtByte,Scrypt,True,PoW,792537250.0,1000000000
MasterTraderCoin,X11,True,PoW/PoS,0.0,10110000
BitCredit,Momentum,True,PoW,0.0,210000000
Pebble Coin,CryptoNight,True,PoW,,0
Dirac Coin,Blake,True,PoW,,2272800
Folding Coin,Stanford Folding,True,PoW,719416990.0,1000000000
Social Media Coin,X11,True,PoW/PoS,,0
Ucoin,X11,True,PoS,2689812.0,20000000
Unitus,Multiple,True,PoW,65113302.0,0
CypherPunkCoin,QuBit,True,PoW,6365285.0,0
QuBuck Coin,X13,True,PoS/PoB,,0
MaryJane Coin,X15,True,PoW/PoS,0.0,0
OmniCron,Scrypt,True,PoW,10140044.4430293,3371337
GigCoin,X11,True,PoW,,0
CyberCoin,Scrypt,True,PoW/PoS,0.0,0
Vtorrent,Scrypt,True,PoW/PoS,11604722.0,20000000
MetalCoin,Scrypt,True,PoW,,0
GreenCoin,Scrypt,True,PoW,4610340640.89,10000000000
XG Sports,XG Hash,True,PoW/PoS,,0
ChildCoin,X11,True,PoW,,2000000
Instamine Nuggets,Scrypt,True,PoW,,21649485
ROS Coin,X11,True,PoW/PoS,,0
Unattanium,SHA-256,True,PoW,0.0,0
GAIA Platform,X11,True,PoS,,24000000
Cryptonite,M7 POW,True,PoW,708506520.0,1840000000
Gridmaster,Scrypt,True,PoW,0.0,84000000
MemoryCoin,Multiple,True,PoW,,10000000
ConSpiracy Coin ,X11,True,PoW,0.0,33000000
MasterCoin,Scrypt,True,PoW,619478.0,619478
EggCoin,Scrypt,True,PoW/PoS,,3891
Camcoin,X11,False,PoW/PoS,,10000000
Ribbit Rewards,Multiple,True,PoW,,1000000000
ICASH,X11,True,PoW,,1000000
Node,Curve25519,True,PoA,,1000000000
SoonCoin,SHA-256,True,PoW,12462620.0,21000000
BitMiles,Scrypt,True,PoW,,4832660000
Event Token,Scrypt,True,PoW/PoS,,0
1Credit,Scrypt,True,PoW,88213.0,92000000000
ViorCoin,Scrypt,True,PoW/PoS,0.0,0
VirtualMining Coin,Scrypt-n,True,PoW,,1000000
MarsCoin,X11,False,PoW,,33000000
Equilibrium Coin,SHA-256,True,PoW/PoS,,0
IslaCoin,X11,True,PoW/PoS,1513704.0,0
Quicksilver coin,X11,True,PoW,0.0,33000000
DeOxyRibose,X11,True,PoS,,0
SkullBuzz,SHA-256,True,PoS,,0
CryptoFocus,X11,True,PoW/PoS,,0
Nexus,SHA3,True,PoW/nPoS,63657220.0,78000000
EagsCoin,X11,True,PoW/PoS,,20445500
MultiWallet Coin,X11,True,PoW/PoS,,0
MarsCoin ,X11,True,PoW,32221574.820996,33000000
Megastake,X11,True,PoW/PoS,,0
Singular,Scrypt,True,PoW/PoS,0.0,0
SupplyShock,X13,True,PoW/PoS,,0
DarkBit,Scrypt,True,PoW/PoS,,0
Crypto,Lyra2RE,True,PoW,13742738.0,65789100
BitLux,X11,False,PoW/PoS,,0
FutCoin,X13,True,PoW/PoS,,0
TamaGucci,Scrypt,True,PoW/PoS/PoC,,5300000
MorpheusCoin,X11,True,PoW,,3400000
Forever Coin,X11,True,PoS,,210000000
BananaBits,Scrypt,True,PoW/PoS,,0
Anarchists Prime,SHA-256,True,PoW,14747200.0002,53760000
Droidz,QUAIT,True,PoW/PoS,8568038.35935056,5060000
BowsCoin,X11,True,PoW,15863837.5,21000000
DarkTron,SHA-256,True,PoW/PoS,,1500000
CryptoCircuits,vDPOS,True,PoS,0.0,0
Empyrean,Scrypt,True,PoW,,100000
Squall Coin,X11,True,PoS/PoW,329200.01639,0
Charity Coin,Scrypt,True,PoW,,500000
Milllionaire Coin,X11,True,PoW/PoS,0.0,0
Quartz,SHA-256,True,PoW/PoS,,0
SpinCoin,NIST5,True,PoW/PoS,,0
DubCoin,X15,True,PoW/PoS,,0
Graviton,SHA-256,True,PoW/PoS,,0
Hedgecoin,X13,True,PoW,,33000000
Song Coin,Scrypt,True,PoW,32565300.0,210240000
BitSeeds,SHA-256,True,PoW/PoS,,0
Chip,X11,True,PoW,,0
SpecCoin,Scrypt,True,PoW,,3000000000
Sprouts,SHA-256,True,PoW/PoS,,0
BitZeny,Scrypt,True,PoW,75614500.0,250000000
Diggits,Scrypt,True,PoS,100000000.0,100000000
Expanse,Ethash,True,PoW,10495278.0,16906397
MapCoin,X11,True,PoS,0.0,2228921.184
Paycon,X13,True,PoW/PoS,23042604.0,50000000
Siacoin,Blake2b,True,PoW,33098296530.0,0
LyraBar,Lyra2RE,True,PoW/PoS,,0
Emercoin,SHA-256,True,PoW/PoS,43059794.804778,1000000000
BlitzCoin,X13,True,PoS,0.0,3852156
BitHIRE,Scrypt,False,PoS,,42000000
EverGreenCoin,X15,True,PoW/PoS,13530556.4180753,26298000
MindCoin,X11,True,PoW,15867695.0,16000000
I0coin,SHA-256,True,PoW,20997476.8650231,21000000
Decred,BLAKE256,True,PoW/PoS,10365046.9281661,21000000
DogeCoinDark,Scrypt,True,PoW,0.0,16500000000
Revolution VR,Scrypt,True,PoW,210000000.0,210000000
HOdlcoin,1GB AES Pattern Search,True,PoW,11448949.0,81962100
EDRCoin,SHA-256,True,PoW/PoS,3669691.84494672,22000000
Hitcoin,X11,True,PoW/PoS,10996318099.0,26550000000
Gamecredits,Scrypt,True,PoW,69836100.0,84000000
Dashcoin,CryptoNight,True,PoW,0.0,18446744
DubaiCoin,SHA-256,True,PoW/PoS,5129014.0,10500000
BiosCrypto,Quark,True,PoW/PoS,0.0,20190463.54969237
CarpeDiemCoin,SHA-256,True,PoW,21739971929.0,21626280000 
RedCrowCoin,Scrypt,True,PoW/PoS,,3966666667
PWR Coin,NIST5,True,PoW/PoS,10069449031.9252,0
TrumpCoin,Blake,True,PoS,0.0,12000000
BillaryCoin,Scrypt,True,PoW/PoS,8998743.2411911,42000000
EthereumScrypt,Scrypt,True,PoW/PoS,0.0,4200000
Phalanx,SHA-256,True,PoW,0.0,15000000
SoulCoin,Scrypt,True,PoW/PoS,,1400000000
SunShotCoin,X11,True,PoW,0.0,2250000000
GPU Coin,Scrypt,True,PoS,40477042.0,221052632
Think And Get Rich Coin,X15,True,PoW/PoS,,30700000
HempCoin,Scrypt-n,True,PoW,0.0,5000000000
Adzcoin,X11,True,PoW,45110324.0,84000000
MayaCoin,Scrypt,True,PoW/PoS,,250000000
VirtaCoin,Scrypt,True,PoW,0.0,21000000000
SoilCoin,Dagger,True,PoW,5702048.0,30000000
YoCoin,Scrypt,True,PoW,636462.55983338,168351300
Universal Currency,SHA-256,True,PoW/PoS,0.0,210000000
AEON,CryptoNight-Lite,True,PoW,0.0,18400000
SibCoin,X11GOST,True,PoW,17263355.0,24000000
EuropeCoin,X11,True,PoW/PoS,10407269.7881868,384000000
AdvancedInternetBlock,Scrypt,True,PoW,,314159265359
DragonSphere,X11,True,PoW/PoS,,21007600
Anti Bitcoin,SHA-256,True,PoW,0.0,42000000
ColossusCoinXT,X11,True,PoS,,21000000000
Mineum,X13,True,PoW/PoS,,10000000
ZeitCoin,Scrypt,True,PoS,36971236046.8073, 99000000000
Cryptographic Anomaly,Scrypt,True,PoW,,10000000000
SwingCoin,SHA-256,True,PoW/PoS,4377081.60953993,40000000
SafeExchangeCoin,Scrypt,True,PoC,2147483647.0,2147483647
Nebuchadnezzar,PoS,True,PoS,20000000.0,20000000
AcesCoin,X11,True,PoS,,98000000
Francs,Scrypt,True,PoW,6570807.65677618,20000000
Aiden,ScryptOG,False,PoW,84000000.0,84000000
Number7,Scrypt,True,PoW,,270967742
Cygnus,X11,True,PoW/PoS,,25885320
LGBTQoin,X11,True,PoW,,50000000
Uther,Dagger,True,PoW,,25885320
MediumProject,PoS,True,PoW,,250000
KATZcoin,SHA-256D,True,PoW/PoS,,100000000
Supreme,Scrypt,True,PoW/PoS,,88900000
Flash,Scrypt,True,PoW/PoS,,1000000
BolivarCoin,X11,True,PoW,13654082.4987998,25000000
CludCoin,Scrypt,True,PoW,,100200000
High Voltage Coin,SHA-256,True,PoW/PoS,,1700000
GIZMOcoin,X11,True,PoW/PoS,0.0,100000
Fuzzballs,Scrypt,True,PoW,,21000000
SecretCoin,X11,True,PoW/PoS,0.0,21000000
Ratecoin,X11,True,PoW/PoS,134554941.15119,75000000
XanaxCoin,Scrypt,True,PoW,,42000000
Digital Bullion Gold,PoS,True,PoS,0.0,15000000
WMCoin,X11,True,PoS,,1000000000
GothicCoin,Scrypt,True,PoW,,313333333
ShrekCoin,Scrypt,True,PoW/PoS,,1246000000
Revenu,SHA-256,True,PoW/PoS,1195525.0,222725000
PabyosiCoin,X11,True,PoW/PoS,,31500000000
Obscurebay,X11,True,PoW/PoS,,6562000
ExitCoin,Scrypt,True,PoW/PoS,,756000000
EducoinV,Scrypt,True,PoW/PoS,,99000000
Clinton,SHA-256,True,PoW,0.0,2421227
Clockcoin,SHA-256,True,PoW/PoS,16662820.0,525000000
VIP Tokens,NIST5,True,PoW/PoS,83450403.0,90000000
NXEcoin,NIST5,True,PoW/PoS,,2200000
ZoomCoin,Lyra2RE,True,PoW,,250000
YobitVirtualCoin,SHA-256,True,PoS,,22830000
OrlyCoin,X15,True,PoW/PoS,0.0,36000000
KubosCoin,Scrypt,False,PoW/PoS,,986898568551
SharkCoin,SHA-256,True,PoW,,400000000
EvilCoin,X11,True,PoW/PoS,,21024000
CobraCoin,Scrypt,True,PoW/PoS,,1012941176
BitSend,X11,True,PoW/PoS,24387724.5010828,139000000
Destiny,Scrypt,True,PoW/PoS,,212625
16BitCoin,NIST5,True,PoW/PoS,0.0,16000000
CometCoin,Scrypt,True,PoW,,2000000
ChessCoin,Scrypt,True,PoW/PoS,0.0,74666667
ReeCoin,Scrypt,True,PoW/PoS,0.0,350000000
Marvelous,Scrypt,True,PoW,,400000000
Omni,Scrypt,True,PoW,616448.0,616448
TrollTokens,SHA-256,False,PoW/PoS,,860000000
Let it Ride,POS 3.0,True,PoS,38589808.6658096,33500000
ScryptCoin,Scrypt,True,PoW,,34181818
Specie,PoS,True,PoS,,9000000
CryptoJacks,X13,True,PoW/PoS,,500000000
PutinCoin,Scrypt,True,PoW/PoS,813092338.575672,2000000000
Kraken,SHA-256,True,PoW/PoS,,20 000 000
iBankCoin,Scrypt,True,PoW/PoS,4526324.0,44333333
World Gold Coin,SHA-256,False,PoW,,51000000
BitMoon,X13,True,PoS,,100000000
Frankywillcoin,Scrypt,True,PoW/PoS,100000000.0,100000000
Psilocybin,SHA-256D,True,PoW/PoS,,4214600
RustCoin,Scrypt,True,PoW/PoS,,21212121
